gid	osm_id	code	fclass	name	coordinates
62426	1628957159	4111	peak	Obersteiner Holm - Cima di Sassalto	POINT(11.9659206 46.9507306)
62427	1628957189	4111	peak	Passennock - Picco del Passo	POINT(11.7899602 46.8947505)
62428	1628957196	4111	peak	Pfaffennock - Cima del Prete	POINT(11.8143763 46.971135)
62429	1628957216	4111	peak	Plan de Corn	POINT(11.9236087 46.6813825)
62430	1628957219	4111	peak	Pojerspitz - Cresta di Poia	POINT(11.9726334 46.9544035)
62431	1628957241	4111	peak	Rotalpe	POINT(11.6880595 46.9466656)
62432	1628957253	4111	peak	Salzkopfl	POINT(11.7494535 46.9607655)
62433	1628957266	4111	peak	Sattelnock - Corno del Passo	POINT(12.0006153 46.9708082)
62434	1628957271	4111	peak	Schafbretter Spitz	POINT(11.8743439 46.9727782)
62435	1628957274	4111	peak	Schaflahner	POINT(11.7256615 46.922192)
62436	1628957287	4111	peak	Scharhaggen - Cima della Gola	POINT(11.8618674 46.9865797)
62437	1628957294	4111	peak	Schlaufer	POINT(11.9289135 47.0024103)
62438	1628957300	4111	peak	Schwarzenbachspitz - Monte Rio Nero	POINT(11.8761566 47.0056066)
62439	1628957311	4111	peak	Schönberg	POINT(11.883778 46.9671519)
62440	1628957323	4111	peak	Spitzhorn	POINT(11.9667598 46.7439048)
62441	1628957333	4111	peak	Steiner Holm	POINT(11.9502061 46.9495016)
62442	1628957339	4111	peak	Steinstreichen	POINT(11.8857074 46.989975)
62443	1628957342	4111	peak	Südlicher Möselenock	POINT(11.7842563 46.9807124)
62444	1628957357	4111	peak	Wagner	POINT(11.9300284 47.0079316)
62445	1628957359	4111	peak	Wechselkofl	POINT(11.7601811 46.8851843)
62446	1628957366	4111	peak	Willeitkopf	POINT(11.91805 46.740155)
62447	1628957386	4111	peak	Zosenbich	POINT(11.7888012 46.9111738)
62448	1628957394	4111	peak	Zwilcher	POINT(11.880748 46.9981627)
62449	1628957397	4111	peak	Riegler	POINT(11.713972 46.9159121)
62450	1628957415	4111	peak	Gamslahnernock - Cima dei Camosci	POINT(11.8075268 46.966357)
62451	1628957422	4111	peak	Äußerer Sattelnock - Cima di Sella di Fuori	POINT(11.813884 46.9758082)
62452	1628957431	4111	peak	Sattelnock - Cima di Sella	POINT(11.8141987 46.9798865)
