id;address;city;name;latitude;longitude
gas_101;BP, 75, Pustertalerstraße, Erlach, Sillian, Bezirk Lienz, Tirol, 9920, Österreich;Sillian;BP;46.7403254;12.3740816
gas_102;ENI, Antholzer Talstraße - Via Valle d'Anterselva, Niederrasen - Rasun di Sotto, Rasen-Antholz - Rasun-Anterselva, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39030, Italia;Rasen-Antholz - Rasun-Anterselva;ENI;46.7752695;12.0438639
gas_103;Agip-Tankstelle - Stazione di servizio Agip, Ahrntaler Straße - Via valle Aurina, Gewerbezone Mühlen in Taufers - Zona Produttiva Molini di Tures, Mühlen in Taufers - Molini di Tures, Sand in Taufers - Campo Tures, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39032, Italia;Mühlen in Taufers - Molini di Tures;Agip-Tankstelle - Stazione di servizio Agip;46.8913423;11.9453679
gas_104;Api-Ip, Wildeich, Aldein - Aldino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia;Aldein - Aldino;Distributore IP;46.3674862;11.3469583
gas_105;Sarni Oil, Brennerautobahn - Autostrada del Brennero, Völs am Schlern - Fiè allo Sciliar, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39050, Italia;Völs am Schlern - Fiè allo Sciliar;Sarni Oil Sciliar ovest;46.5313887;11.4906465
gas_106;Firmin, Pizack, St. Valentin - San Valentino, St. Peter - San Pietro, Villnöß - Funes, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia;St. Peter - San Pietro;Firmin;46.6403799;11.6750418
gas_107;Esso, Ahrntalerstraße - Via valle Aurina, Taufers - Tures, Sand in Taufers - Campo Tures, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39032, Italia;Taufers - Tures;Esso;46.9167917;11.9515423
gas_108;Q8, Via Pineta, Marmolada, Tabiadon di Val, Caviola, Falcade, Belluno, Veneto, 32020, Italia;Caviola;Q8;46.3627382;11.8931015
gas_109;Q8, SS50, Masi di Imer, Imer, Comunità di Primiero, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia;Imer;Q8;46.14532;11.7856361
gas_110;Esso, Viale Piave, Pieve, Transacqua, Primiero San Martino di Castrozza, Comunità di Primiero, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38054, Italia;Transacqua;Esso;46.1725942;11.8262312
gas_111;Repsol, Haflingerstraße - Via Avelengo, Hafling Oberdorf - Avelengo di Sopra, Hafling - Avelengo, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39010, Italia;Hafling Oberdorf - Avelengo di Sopra;Repsol;46.6483442;11.2194083
gas_112;BP, Reschenstraße, Nauders, Bezirk Landeck, Tirol, 6543, Österreich;Nauders;BP;46.8511651;10.5045822
gas_113;SMP - Tankstelle Rohrer, Hauptstraße, Aich - Aica, Tirol - Tirolo, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39019, Italia;Tirol - Tirolo;SMP - Tankstelle Rohrer;46.6879722;11.1563303
gas_114;K, Jaufenstraße - Via Giovo, St. Martin in Passeier - San Martino in Passiria, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39010, Italia;St. Martin in Passeier - San Martino in Passiria;K;46.7852345;11.2296588
gas_115;Costantin, Via Spolverine, Zivignago, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38057, Italia;Zivignago;Costantin;46.0649368;11.2465507
gas_116;eni, Vinschgauer Straße - Via Venosta, Gewerbegebiet Töll - Zona produttiva Tel, Unter Vertigen, Rabland - Rablà, Partschins - Parcines, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39020, Italia;Rabland - Rablà;eni;46.673438;11.0753015
gas_117;IP, Via Guido Donegani - Strada Provinciale del Lago di Caldonazzo, Calceranica al Lago, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38052, Italia;Calceranica al Lago;IP;46.0057698;11.2413397
gas_118;Viale 4 Novembre, Fadana, Cembra, Cembra Lisignago, Comunità della Valle di Cembra, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38041, Italia;Cembra;Stazione di servizio petrol villa;46.1766307;11.2236794
gas_119;Esso, Via Codogno, Solagna, Vicenza, Veneto, 35061, Italia;Solagna;Esso;45.8186691;11.7150592
gas_120;Q8, Kalterer Straße - Via Caldaro, Gand - Ganda, St. Michael - San Michele, Eppan an der Weinstraße - Appiano sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39057, Italia;St. Michael - San Michele;Pichler Karl;46.4447982;11.2606005
gas_121;Total, Viale Trento, Caldonazzo, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38052, Italia;Caldonazzo;Total;45.9965856;11.2591767
gas_122;Agip Eni, Via Roma, Tressane, Tonadico, Primiero San Martino di Castrozza, Comunità di Primiero, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38054, Italia;Tonadico;Eni Station;46.1819951;11.8315714
