gid	osm_id	code	fclass	name	coordinates
238536	3990649207	4132	cave_entrance	Abisso del Paradiso	POINT(11.3031629 45.8731305)
238876	4000683543	4132	cave_entrance	\N	POINT(11.5625389 46.0501297)
239879	4081170497	4132	cave_entrance	\N	POINT(11.482866 46.0329571)
239880	4081175936	4132	cave_entrance	\N	POINT(11.5003523 46.0407215)
239895	4081177810	4132	cave_entrance	\N	POINT(11.4833028 46.0362009)
241128	4187709266	4132	cave_entrance	\N	POINT(11.7757203 46.4779939)
241387	4222599890	4132	cave_entrance	\N	POINT(11.9538576 46.469671)
241523	4238363983	4132	cave_entrance	Gallerie 1°guerra Mondiale	POINT(11.5720405 45.7859279)
241525	4239202972	4132	cave_entrance	Bus del Canon	POINT(11.2597551 46.1002103)
243311	4351027502	4132	cave_entrance	\N	POINT(11.5478894 46.1792097)
244029	4388840110	4132	cave_entrance	Coalo de la Taiarona	POINT(11.5618708 46.0154788)
244030	4388840111	4132	cave_entrance	Coalo del Bracalgiòn	POINT(11.5618155 46.01512)
244031	4388840112	4132	cave_entrance	Coalo della polveriera	POINT(11.5784912 46.0201094)
244032	4388840113	4132	cave_entrance	Coalo sotto il Pozzo della Singala	POINT(11.588089 46.0048385)
244033	4388840114	4132	cave_entrance	Cogolo dei Agnei	POINT(11.5576525 46.0240068)
244034	4388840115	4132	cave_entrance	Covolo delle Balze	POINT(11.5850409 46.0053936)
244035	4388840116	4132	cave_entrance	Crepa del Colon	POINT(11.560987 46.0201159)
244036	4388840117	4132	cave_entrance	Grotta dei Camosci	POINT(11.5896134 46.0095685)
244037	4388840118	4132	cave_entrance	Grotta dei Due Ingressi	POINT(11.5854543 46.0056723)
244038	4388840119	4132	cave_entrance	Grotta del Muschio	POINT(11.5854542 46.0053932)
244039	4388840120	4132	cave_entrance	Grotta del Soffio	POINT(11.5944989 46.0063165)
244040	4388840121	4132	cave_entrance	Grotta dell' Orso	POINT(11.5862591 46.0063111)
244041	4388840122	4132	cave_entrance	Grotta della Bigonda	POINT(11.5809973 46.0181626)
244042	4388840123	4132	cave_entrance	Grotta della Porta	POINT(11.5901815 46.0042871)
